Address,Property Type,Bedrooms,Main Image URL,Detail URL,Display Price,Date Sold
"Flat 1, Stonemason Court, 63, Borough Road, London, Greater London SE1 1DZ",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21245275?s=9dd3141940bbd11bc1b8897b368c45d0ae336bb1799c3607e5118fe8049003fe,"£625,000",29 Feb 2024
"Flat 1, Stonemason Court, 63, Borough Road, London, Greater London SE1 1DZ",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21245275?s=9dd3141940bbd11bc1b8897b368c45d0ae336bb1799c3607e5118fe8049003fe,"£517,500",20 Sep 2013
"Flat 1, Stonemason Court, 63, Borough Road, London, Greater London SE1 1DZ",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21245275?s=9dd3141940bbd11bc1b8897b368c45d0ae336bb1799c3607e5118fe8049003fe,"£125,950",19 Dec 1997
"Apartment 702, 251, Southwark Bridge Road, London, Greater London SE1 6FJ",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21508144?s=7773dea4aa38c6b142c73bb12472e5ac9c5efb907a29e71771cbda447b9677ad,"£720,000",29 Feb 2024
"205, Madison Apartments, 5 - 27, Long Lane, London, Greater London SE1 4PF",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21508072?s=161130b2d4bb482016fd0cfa93a5c9b319a214ba20c0a8d270d6f45b3220caea,"£490,000",28 Feb 2024
"205, Madison Apartments, 5 - 27, Long Lane, London, Greater London SE1 4PF",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21508072?s=161130b2d4bb482016fd0cfa93a5c9b319a214ba20c0a8d270d6f45b3220caea,"£482,500",22 May 2015
"Flat 11, Walpole House, 126, Westminster Bridge Road, London, Greater London SE1 7UN",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21245431?s=451d7455e459d0312945a75b00e001c2bdf97aa844ab348dca9226e55d0649b8,"£535,000",26 Feb 2024
"Flat 11, Walpole House, 126, Westminster Bridge Road, London, Greater London SE1 7UN",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21245431?s=451d7455e459d0312945a75b00e001c2bdf97aa844ab348dca9226e55d0649b8,"£250,000",7 Oct 2003
"Flat 11, Walpole House, 126, Westminster Bridge Road, London, Greater London SE1 7UN",FLAT,,,https://www.rightmove.co.uk/house-prices/details/england-21245431?s=451d7455e459d0312945a75b00e001c2bdf97aa844ab348dca9226e55d0649b8,"£115,000",9 Jan 1998
"Flat 139, Rowland Hill House, Nelson Square, London, Greater London SE1 0LU",FLAT,2,https://media.rightmove.co.uk/dir/34k/33557/139837316/33557_CSC212113_IMG_00_0000_max_135x100.jpeg,https://www.rightmove.co.uk/house-prices/details/england-139837316-20969191?s=a84d206f76fdc5c970e12e923a26878851708eb491673af574ff7c025cf7d943,"£495,000",26 Feb 2024
